--enable-webgl-developer-extensions,--enable-low-end-device-mode,--disable-local-storage,--enable-network-information-downlink-max,--disable-shared-workers,--disable-permissions-api,--disable-scroll-to-text-fragment,--disable-webgl
--shared-array-buffer-unrestricted-access-allowed,--enable-webgl-image-chromium,--enable-network-information-downlink-max,--disable-permissions-api,--disable-3d-apis,--disable-shared-workers,--disable-threaded-compositing,--enable-skia-benchmarking
--disable-scroll-to-text-fragment,--disable-javascript-harmony-shipping,--disable-webgl,--disable-3d-apis,--enable-experimental-web-platform-features,--disable-speech-api,--disable-permissions-api,--enable-low-end-device-mode
--enable-experimental-web-platform-features,--disable-permissions-api,--disable-notifications,--disable-3d-apis,--disable-remote-playback-api,--enable-skia-benchmarking,--disable-shared-workers,--enable-webgl-developer-extensions
--disable-3d-apis,--enable-precise-memory-info,--enable-network-information-downlink-max,--disable-scroll-to-text-fragment,--deterministic-mode,--enable-low-end-device-mode,--disable-permissions-api,--disable-local-storage
--disable-databases,--enable-webgl-developer-extensions,--enable-skia-benchmarking,--enable-begin-frame-control,--enable-network-information-downlink-max,--disable-file-system,--enable-precise-memory-info,--disable-shared-workers
--enable-webgl-image-chromium,--enable-privacy-sandbox-ads-apis,--deterministic-mode,--disable-speech-api,--disable-speech-synthesis-api,--disable-javascript-harmony-shipping,--enable-experimental-web-platform-features,--disable-threaded-compositing
--enable-gpu-benchmarking,--disable-notifications,--enable-precise-memory-info,--enable-begin-frame-control,--disable-remote-playback-api,--disable-web-security,--enable-stats-collection-bindings,--disable-speech-api
--touch-events,--enable-webgl-developer-extensions,--disable-speech-synthesis-api,--deterministic-mode,--disable-notifications,--disable-javascript-harmony-shipping,--disable-scroll-to-text-fragment,--disable-speech-api
--disable-file-system,--disable-shared-workers,--disable-local-storage,--disable-speech-api,--enable-blink-test-features,--shared-array-buffer-unrestricted-access-allowed,--disable-speech-synthesis-api,--disable-webgl
--disable-speech-api,--enable-precise-memory-info,--disable-permissions-api,--disable-speech-synthesis-api,--disable-shared-workers,--dom-automation,--disable-threaded-compositing,--disable-web-security,--enable-experimental-webassembly-features,--enable-experimental-web-platform-features,--enable-webgl-image-chromium,--disable-javascript-harmony-shipping,--enable-skia-benchmarking,--disable-webgl,--touch-events,--disable-scroll-to-text-fragment
--enable-privacy-sandbox-ads-apis,--enable-network-information-downlink-max,--disable-shared-workers,--disable-databases,--disable-webgl,--disable-javascript-harmony-shipping,--disable-local-storage,--enable-skia-benchmarking,--disable-remote-playback-api,--dom-automation,--enable-experimental-webassembly-features,--touch-events,--enable-webgl-image-chromium,--disable-file-system,--disable-threaded-compositing,--disable-scroll-to-text-fragment
--disable-speech-synthesis-api,--enable-network-information-downlink-max,--disable-shared-workers,--deterministic-mode,--disable-speech-api,--enable-precise-memory-info,--disable-notifications,--disable-3d-apis,--enable-gpu-benchmarking,--disable-webgl,--enable-blink-test-features,--enable-experimental-webassembly-features,--enable-privacy-sandbox-ads-apis,--disable-remote-playback-api,--enable-begin-frame-control,--disable-scroll-to-text-fragment
--disable-databases,--disable-local-storage,--disable-3d-apis,--disable-permissions-api,--enable-experimental-webassembly-features,--touch-events,--disable-threaded-compositing,--enable-skia-benchmarking,--enable-gpu-benchmarking,--lang,--dom-automation,--enable-experimental-web-platform-features,--disable-javascript-harmony-shipping,--deterministic-mode,--enable-blink-test-features,--disable-notifications
--disable-databases,--enable-blink-test-features,--lang,--enable-stats-collection-bindings,--enable-begin-frame-control,--disable-webgl,--enable-privacy-sandbox-ads-apis,--enable-experimental-webassembly-features,--disable-local-storage,--enable-gpu-benchmarking,--disable-file-system,--enable-low-end-device-mode,--disable-scroll-to-text-fragment,--disable-permissions-api,--disable-javascript-harmony-shipping,--disable-speech-synthesis-api
--enable-precise-memory-info,--enable-begin-frame-control,--disable-remote-playback-api,--touch-events,--enable-gpu-benchmarking,--dom-automation,--enable-low-end-device-mode,--enable-experimental-webassembly-features,--disable-notifications,--enable-experimental-web-platform-features,--deterministic-mode,--enable-stats-collection-bindings,--disable-threaded-compositing,--enable-webgl-image-chromium,--enable-webgl-developer-extensions,--disable-local-storage
--disable-web-security,--disable-databases,--disable-webgl,--enable-stats-collection-bindings,--enable-experimental-web-platform-features,--disable-local-storage,--shared-array-buffer-unrestricted-access-allowed,--disable-file-system,--touch-events,--enable-low-end-device-mode,--enable-webgl-developer-extensions,--enable-experimental-webassembly-features,--enable-gpu-benchmarking,--lang,--disable-remote-playback-api,--disable-notifications
--disable-javascript-harmony-shipping,--disable-remote-playback-api,--disable-file-system,--enable-webgl-image-chromium,--enable-stats-collection-bindings,--enable-skia-benchmarking,--touch-events,--enable-gpu-benchmarking,--lang,--disable-threaded-compositing,--enable-precise-memory-info,--disable-permissions-api,--enable-blink-test-features,--disable-speech-synthesis-api,--enable-low-end-device-mode,--disable-shared-workers
--dom-automation,--disable-remote-playback-api,--disable-databases,--enable-begin-frame-control,--enable-experimental-webassembly-features,--enable-blink-test-features,--enable-skia-benchmarking,--disable-speech-api,--disable-notifications,--disable-threaded-compositing,--enable-webgl-developer-extensions,--enable-network-information-downlink-max,--disable-web-security,--disable-file-system,--enable-experimental-web-platform-features,--touch-events
--lang,--disable-webgl,--enable-network-information-downlink-max,--dom-automation,--enable-skia-benchmarking,--disable-web-security,--enable-precise-memory-info,--touch-events,--shared-array-buffer-unrestricted-access-allowed,--enable-webgl-developer-extensions,--disable-databases,--enable-privacy-sandbox-ads-apis,--enable-stats-collection-bindings,--enable-gpu-benchmarking,--enable-begin-frame-control,--enable-webgl-image-chromium
--disable-javascript-harmony-shipping,--disable-databases,--enable-blink-test-features,--disable-3d-apis,--enable-experimental-webassembly-features,--enable-gpu-benchmarking,--enable-low-end-device-mode,--disable-speech-api,--lang,--dom-automation,--enable-webgl-image-chromium,--disable-speech-synthesis-api,--enable-experimental-web-platform-features,--enable-stats-collection-bindings,--disable-file-system,--disable-webgl,--disable-remote-playback-api,--disable-notifications,--enable-privacy-sandbox-ads-apis,--enable-network-information-downlink-max,--shared-array-buffer-unrestricted-access-allowed,--deterministic-mode,--enable-begin-frame-control,--touch-events
--disable-speech-synthesis-api,--enable-privacy-sandbox-ads-apis,--enable-skia-benchmarking,--disable-remote-playback-api,--lang,--disable-permissions-api,--disable-threaded-compositing,--disable-file-system,--enable-webgl-developer-extensions,--disable-javascript-harmony-shipping,--disable-web-security,--disable-local-storage,--disable-3d-apis,--enable-begin-frame-control,--enable-blink-test-features,--enable-gpu-benchmarking,--dom-automation,--deterministic-mode,--shared-array-buffer-unrestricted-access-allowed,--enable-experimental-webassembly-features,--enable-experimental-web-platform-features,--enable-low-end-device-mode,--disable-speech-api,--disable-databases
--dom-automation,--enable-precise-memory-info,--enable-webgl-image-chromium,--disable-scroll-to-text-fragment,--disable-speech-synthesis-api,--disable-threaded-compositing,--enable-experimental-web-platform-features,--enable-privacy-sandbox-ads-apis,--shared-array-buffer-unrestricted-access-allowed,--disable-remote-playback-api,--disable-permissions-api,--disable-3d-apis,--disable-notifications,--disable-shared-workers,--enable-stats-collection-bindings,--disable-file-system,--enable-low-end-device-mode,--touch-events,--disable-webgl,--disable-web-security,--deterministic-mode,--enable-skia-benchmarking,--lang,--disable-local-storage
--disable-shared-workers,--touch-events,--enable-privacy-sandbox-ads-apis,--enable-network-information-downlink-max,--dom-automation,--shared-array-buffer-unrestricted-access-allowed,--enable-experimental-webassembly-features,--enable-blink-test-features,--enable-low-end-device-mode,--disable-web-security,--disable-remote-playback-api,--disable-notifications,--enable-precise-memory-info,--disable-scroll-to-text-fragment,--enable-stats-collection-bindings,--lang,--enable-skia-benchmarking,--disable-file-system,--disable-databases,--disable-javascript-harmony-shipping,--deterministic-mode,--disable-threaded-compositing,--disable-3d-apis,--disable-permissions-api
--disable-web-security,--enable-stats-collection-bindings,--enable-low-end-device-mode,--disable-speech-synthesis-api,--shared-array-buffer-unrestricted-access-allowed,--lang,--enable-webgl-developer-extensions,--enable-experimental-web-platform-features,--enable-skia-benchmarking,--enable-begin-frame-control,--deterministic-mode,--enable-precise-memory-info,--disable-local-storage,--enable-privacy-sandbox-ads-apis,--disable-webgl,--disable-file-system,--touch-events,--enable-webgl-image-chromium,--enable-network-information-downlink-max,--disable-javascript-harmony-shipping,--dom-automation,--disable-speech-api,--disable-databases,--enable-blink-test-features
--shared-array-buffer-unrestricted-access-allowed,--enable-low-end-device-mode,--enable-gpu-benchmarking,--enable-network-information-downlink-max,--disable-threaded-compositing,--disable-scroll-to-text-fragment,--enable-experimental-webassembly-features,--lang,--enable-blink-test-features,--enable-webgl-image-chromium,--enable-webgl-developer-extensions,--enable-precise-memory-info,--enable-skia-benchmarking,--disable-remote-playback-api,--disable-file-system,--disable-web-security,--disable-speech-synthesis-api,--disable-local-storage,--enable-stats-collection-bindings,--enable-begin-frame-control,--disable-databases,--disable-notifications,--disable-permissions-api,--disable-speech-api
--enable-webgl-developer-extensions,--lang,--enable-network-information-downlink-max,--disable-webgl,--touch-events,--disable-scroll-to-text-fragment,--disable-databases,--disable-permissions-api,--enable-low-end-device-mode,--disable-web-security,--deterministic-mode,--enable-privacy-sandbox-ads-apis,--enable-precise-memory-info,--enable-blink-test-features,--disable-notifications,--disable-threaded-compositing,--shared-array-buffer-unrestricted-access-allowed,--dom-automation,--enable-begin-frame-control,--enable-stats-collection-bindings,--disable-3d-apis,--enable-gpu-benchmarking,--enable-webgl-image-chromium,--disable-local-storage
--disable-remote-playback-api,--enable-gpu-benchmarking,--enable-network-information-downlink-max,--enable-blink-test-features,--disable-databases,--shared-array-buffer-unrestricted-access-allowed,--enable-webgl-image-chromium,--disable-local-storage,--enable-webgl-developer-extensions,--disable-scroll-to-text-fragment,--enable-precise-memory-info,--enable-experimental-web-platform-features,--disable-shared-workers,--disable-speech-synthesis-api,--touch-events,--disable-3d-apis,--dom-automation,--enable-begin-frame-control,--disable-web-security,--deterministic-mode,--enable-experimental-webassembly-features,--enable-stats-collection-bindings,--enable-privacy-sandbox-ads-apis,--lang
--disable-file-system,--enable-low-end-device-mode,--enable-blink-test-features,--disable-shared-workers,--dom-automation,--enable-webgl-developer-extensions,--enable-experimental-webassembly-features,--enable-stats-collection-bindings,--disable-scroll-to-text-fragment,--disable-threaded-compositing,--disable-speech-api,--shared-array-buffer-unrestricted-access-allowed,--disable-local-storage,--enable-gpu-benchmarking,--disable-javascript-harmony-shipping,--lang,--disable-3d-apis,--enable-privacy-sandbox-ads-apis,--disable-speech-synthesis-api,--disable-notifications,--enable-begin-frame-control,--deterministic-mode,--disable-web-security,--enable-webgl-image-chromium
--enable-blink-test-features,--enable-experimental-web-platform-features,--enable-gpu-benchmarking,--disable-speech-synthesis-api,--disable-javascript-harmony-shipping,--enable-webgl-developer-extensions,--disable-speech-api,--enable-precise-memory-info,--disable-databases,--disable-notifications,--disable-3d-apis,--enable-stats-collection-bindings,--disable-webgl,--enable-begin-frame-control,--disable-web-security,--disable-remote-playback-api,--dom-automation,--enable-privacy-sandbox-ads-apis,--shared-array-buffer-unrestricted-access-allowed,--lang,--disable-shared-workers,--deterministic-mode,--disable-file-system,--enable-experimental-webassembly-features
